"box";"file_no";"vid_row_id";"date_";"vid_action";"datetime_vid";"vid_dur";"vid_comment_txt";"vid_act_se"
"1";"006";"n1";1;2017-05-18;"pers_trans";2017-05-18 10:06:23.357;7740;"start um 10:06 Uhr";0
"2";"006";"n1";2;2017-05-18;"FRONT";2017-05-18 10:11:07.263;7740;NA;1
"3";"006";"n1";3;2017-05-18;"FRONT";2017-05-18 10:11:08.957;7740;NA;2
"4";"006";"n1";4;2017-05-18;"FRONT";2017-05-18 10:11:20.842;7740;NA;1
"5";"006";"n1";5;2017-05-18;"IN";2017-05-18 10:11:22.398;7740;NA;0
"6";"006";"n1";6;2017-05-18;"OUT";2017-05-18 10:11:45.677;7740;NA;0
"7";"006";"n1";7;2017-05-18;"IN";2017-05-18 10:14:04.278;7740;NA;0
"8";"006";"n1";8;2017-05-18;"OUT";2017-05-18 10:14:10.398;7740;NA;0
"9";"006";"n1";9;2017-05-18;"IN";2017-05-18 10:14:29.226;7740;NA;0
"10";"006";"n1";10;2017-05-18;"OUT";2017-05-18 10:15:58.387;7740;NA;0
"11";"006";"n1";11;2017-05-18;"IN";2017-05-18 10:18:11.358;7740;NA;0
"12";"006";"n1";12;2017-05-18;"OUT";2017-05-18 10:18:21.918;7740;NA;0
"13";"006";"n1";13;2017-05-18;"IN";2017-05-18 10:18:45.917;7740;NA;0
"14";"006";"n1";14;2017-05-18;"OUT";2017-05-18 10:18:54.184;7740;NA;0
"15";"006";"n1";15;2017-05-18;"IN";2017-05-18 10:19:07.878;7740;NA;0
"16";"006";"n1";16;2017-05-18;"OUT";2017-05-18 10:19:19.140;7740;NA;0
"17";"006";"n1";17;2017-05-18;"IN";2017-05-18 10:20:12.798;7740;NA;0
"18";"006";"n1";18;2017-05-18;"OUT";2017-05-18 10:20:21.772;7740;NA;0
"19";"006";"n1";19;2017-05-18;"IN";2017-05-18 10:21:08.696;7740;NA;0
"20";"006";"n1";20;2017-05-18;"OUT";2017-05-18 10:21:17.349;7740;NA;0
"21";"006";"n1";21;2017-05-18;"IN";2017-05-18 10:21:21.308;7740;NA;0
"22";"006";"n1";22;2017-05-18;"OUT";2017-05-18 10:21:31.283;7740;NA;0
"23";"006";"n1";23;2017-05-18;"IN";2017-05-18 10:21:48.424;7740;NA;0
"24";"006";"n1";24;2017-05-18;"OUT";2017-05-18 10:21:55.854;7740;NA;0
"25";"006";"n1";25;2017-05-18;"IN";2017-05-18 10:24:30.674;7740;NA;0
"26";"006";"n1";26;2017-05-18;"OUT";2017-05-18 10:24:41.237;7740;NA;0
"27";"006";"n1";27;2017-05-18;"IN";2017-05-18 10:25:25.759;7740;"1st BT enters box";0
"28";"006";"n1";28;2017-05-18;"FRONT";2017-05-18 10:25:39.426;7740;"2nd BT arrives at box and hangs outside on box";1
"29";"006";"n1";29;2017-05-18;"OUT";2017-05-18 10:25:46.000;7740;"1st BT leaves box while 2nd BT hangs outside on box";0
"30";"006";"n1";30;2017-05-18;"IN";2017-05-18 10:25:47.588;7740;"2nd BT enters box";0
"31";"006";"n1";31;2017-05-18;"OUT";2017-05-18 10:25:56.579;7740;"2nd BT leaves box";0
"32";"006";"n1";32;2017-05-18;"IN";2017-05-18 10:26:23.240;7740;NA;0
"33";"006";"n1";33;2017-05-18;"OUT";2017-05-18 10:26:32.960;7740;NA;0
"34";"006";"n1";34;2017-05-18;"IN";2017-05-18 10:26:59.838;7740;NA;0
"35";"006";"n1";35;2017-05-18;"OUT";2017-05-18 10:27:17.598;7740;NA;0
"36";"006";"n1";36;2017-05-18;"IN";2017-05-18 10:28:51.076;7740;NA;0
"37";"006";"n1";37;2017-05-18;"OUT";2017-05-18 10:29:03.433;7740;NA;0
"38";"006";"n1";38;2017-05-18;"IN";2017-05-18 10:29:48.920;7740;NA;0
"39";"006";"n1";39;2017-05-18;"OUT";2017-05-18 10:30:02.832;7740;NA;0
"40";"006";"n1";40;2017-05-18;"IN";2017-05-18 10:32:09.441;7740;NA;0
"41";"006";"n1";41;2017-05-18;"OUT";2017-05-18 10:32:14.957;7740;NA;0
"42";"006";"n1";42;2017-05-18;"IN";2017-05-18 10:34:54.559;7740;NA;0
"43";"006";"n1";43;2017-05-18;"OUT";2017-05-18 10:35:04.023;7740;NA;0
"44";"006";"n1";44;2017-05-18;"IN";2017-05-18 10:35:41.344;7740;NA;0
"45";"006";"n1";45;2017-05-18;"OUT";2017-05-18 10:35:49.269;7740;NA;0
"46";"006";"n1";46;2017-05-18;"IN";2017-05-18 10:38:27.078;7740;NA;0
"47";"006";"n1";47;2017-05-18;"OUT";2017-05-18 10:38:52.753;7740;NA;0
"48";"006";"n1";48;2017-05-18;"IN";2017-05-18 10:42:24.198;7740;NA;0
"49";"006";"n1";49;2017-05-18;"OUT";2017-05-18 10:42:34.016;7740;NA;0
"50";"006";"n1";50;2017-05-18;"IN";2017-05-18 10:44:09.548;7740;NA;0
"51";"006";"n1";51;2017-05-18;"OUT";2017-05-18 10:44:22.500;7740;NA;0
"52";"006";"n1";52;2017-05-18;"IN";2017-05-18 10:44:37.033;7740;NA;0
"53";"006";"n1";53;2017-05-18;"OUT";2017-05-18 10:45:24.316;7740;NA;0
"54";"006";"n1";54;2017-05-18;"IN";2017-05-18 10:47:15.200;7740;NA;0
"55";"006";"n1";55;2017-05-18;"OUT";2017-05-18 10:47:28.641;7740;NA;0
"56";"006";"n1";56;2017-05-18;"IN";2017-05-18 10:49:01.279;7740;NA;0
"57";"006";"n1";57;2017-05-18;"OUT";2017-05-18 10:49:13.523;7740;NA;0
"58";"006";"n1";58;2017-05-18;"IN";2017-05-18 10:49:58.757;7740;NA;0
"59";"006";"n1";59;2017-05-18;"OUT";2017-05-18 10:50:06.798;7740;NA;0
"60";"006";"n1";60;2017-05-18;"IN";2017-05-18 10:50:40.519;7740;NA;0
"61";"006";"n1";61;2017-05-18;"OUT";2017-05-18 10:50:50.243;7740;NA;0
"62";"006";"n1";62;2017-05-18;"IN";2017-05-18 10:52:17.691;7740;NA;0
"63";"006";"n1";63;2017-05-18;"OUT";2017-05-18 10:52:36.410;7740;NA;0
"64";"006";"n1";64;2017-05-18;"IN";2017-05-18 10:53:41.834;7740;NA;0
"65";"006";"n1";65;2017-05-18;"OUT";2017-05-18 10:53:51.424;7740;NA;0
"66";"006";"n1";66;2017-05-18;"IN";2017-05-18 10:54:46.161;7740;NA;0
"67";"006";"n1";67;2017-05-18;"OUT";2017-05-18 10:54:56.111;7740;NA;0
"68";"006";"n1";68;2017-05-18;"IN";2017-05-18 10:56:12.680;7740;NA;0
"69";"006";"n1";69;2017-05-18;"IN";2017-05-18 10:56:55.520;7740;NA;0
"70";"006";"n1";70;2017-05-18;"OUT";2017-05-18 10:56:57.441;7740;NA;0
"71";"006";"n1";71;2017-05-18;"OUT";2017-05-18 10:57:14.351;7740;NA;0
"72";"006";"n1";72;2017-05-18;"IN";2017-05-18 10:58:07.641;7740;NA;0
"73";"006";"n1";73;2017-05-18;"IN";2017-05-18 10:58:29.117;7740;NA;0
"74";"006";"n1";74;2017-05-18;"OUT";2017-05-18 10:58:32.227;7740;NA;0
